,Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,Cost Matrix(Risk)
781,no checking account,24,critical account,car (new),1940,>= 1000 DM,>=7 years,4,male:single,none,4,real estate,60,none,own,1,skilled employee / official,1,yes,yes,Good Risk
782,0 <= <200 DM,12,no credits taken,retraining,1410,<100 DM,1<= < 4 years,2,male:single,none,2,real estate,31,none,own,1,unskilled - resident,1,yes,yes,Good Risk
783,0 <= <200 DM,12,existing credits paid back duly till now,car (new),836,100 <= <500 DM,<1 years,4,female:divorced/separated/married,none,2,savings agreement/life insurance,23,bank,own,1,unskilled - resident,1,none,yes,Bad Risk
784,0 <= <200 DM,20,existing credits paid back duly till now,car (used),6468,no savings account,unemployed,1,male:divorced/separated,none,4,real estate,60,none,own,1,management/ highly qualified employee,1,yes,yes,Good Risk
785,0 <= <200 DM,18,existing credits paid back duly till now,business,1941,>= 1000 DM,1<= < 4 years,4,male:single,none,2,savings agreement/life insurance,35,none,own,1,unskilled - resident,1,yes,yes,Good Risk
786,no checking account,22,existing credits paid back duly till now,radio/television,2675,500 <= < 1000 DM,>=7 years,3,male:single,none,4,car or other,40,none,own,1,skilled employee / official,1,none,yes,Good Risk
787,no checking account,48,critical account,car (used),2751,no savings account,>=7 years,4,male:single,none,3,car or other,38,none,own,2,skilled employee / official,2,yes,yes,Good Risk
788,0 <= <200 DM,48,delay in paying off,education,6224,<100 DM,>=7 years,4,male:single,none,4,unknown / no property,50,none,for free,1,skilled employee / official,1,none,yes,Bad Risk
789,<0 DM,40,critical account,education,5998,<100 DM,1<= < 4 years,4,male:single,none,3,unknown / no property,27,bank,own,1,skilled employee / official,1,yes,yes,Bad Risk
790,0 <= <200 DM,21,existing credits paid back duly till now,business,1188,<100 DM,>=7 years,2,female:divorced/separated/married,none,4,savings agreement/life insurance,39,none,own,1,skilled employee / official,2,none,yes,Bad Risk
791,no checking account,24,existing credits paid back duly till now,car (used),6313,no savings account,>=7 years,3,male:single,none,4,car or other,41,none,own,1,management/ highly qualified employee,2,yes,yes,Good Risk
792,no checking account,6,critical account,furniture/equipment,1221,no savings account,1<= < 4 years,1,male:married/widowed,none,2,savings agreement/life insurance,27,none,own,2,skilled employee / official,1,none,yes,Good Risk
793,>= 200 DM ,24,existing credits paid back duly till now,furniture/equipment,2892,<100 DM,>=7 years,3,male:divorced/separated,none,4,unknown / no property,51,none,for free,1,skilled employee / official,1,none,yes,Good Risk
794,no checking account,24,existing credits paid back duly till now,furniture/equipment,3062,500 <= < 1000 DM,>=7 years,4,male:single,none,3,unknown / no property,32,none,rent,1,skilled employee / official,1,yes,yes,Good Risk
795,no checking account,9,existing credits paid back duly till now,furniture/equipment,2301,100 <= <500 DM,<1 years,2,female:divorced/separated/married,none,4,savings agreement/life insurance,22,none,rent,1,skilled employee / official,1,none,yes,Good Risk
796,<0 DM,18,existing credits paid back duly till now,car (used),7511,no savings account,>=7 years,1,male:single,none,4,savings agreement/life insurance,51,none,for free,1,skilled employee / official,2,yes,yes,Bad Risk
797,no checking account,12,critical account,furniture/equipment,1258,<100 DM,<1 years,2,female:divorced/separated/married,none,4,savings agreement/life insurance,22,none,rent,2,unskilled - resident,1,none,yes,Good Risk
798,no checking account,24,delay in paying off,car (new),717,no savings account,>=7 years,4,male:married/widowed,none,4,car or other,54,none,own,2,skilled employee / official,1,yes,yes,Good Risk
799,0 <= <200 DM,9,existing credits paid back duly till now,car (new),1549,no savings account,<1 years,4,male:single,none,2,real estate,35,none,own,1,unemployed/ unskilled  - non-resident,1,none,yes,Good Risk
800,no checking account,24,critical account,education,1597,<100 DM,>=7 years,4,male:single,none,4,unknown / no property,54,none,for free,2,skilled employee / official,2,none,yes,Good Risk
801,0 <= <200 DM,18,critical account,radio/television,1795,<100 DM,>=7 years,3,female:divorced/separated/married,guarantor,4,real estate,48,bank,rent,2,unskilled - resident,1,yes,yes,Good Risk
802,<0 DM,20,critical account,furniture/equipment,4272,<100 DM,>=7 years,1,female:divorced/separated/married,none,4,savings agreement/life insurance,24,none,own,2,skilled employee / official,1,none,yes,Good Risk
803,no checking account,12,critical account,radio/television,976,no savings account,>=7 years,4,male:single,none,4,car or other,35,none,own,2,skilled employee / official,1,none,yes,Good Risk
804,0 <= <200 DM,12,existing credits paid back duly till now,car (new),7472,no savings account,unemployed,1,female:divorced/separated/married,none,2,real estate,24,none,rent,1,unemployed/ unskilled  - non-resident,1,none,yes,Good Risk
805,<0 DM,36,existing credits paid back duly till now,car (new),9271,<100 DM,4<= <7 years,2,male:single,none,1,car or other,24,none,own,1,skilled employee / official,1,yes,yes,Bad Risk
806,0 <= <200 DM,6,existing credits paid back duly till now,radio/television,590,<100 DM,<1 years,3,male:married/widowed,none,3,real estate,26,none,own,1,unskilled - resident,1,none,no,Good Risk
807,no checking account,12,critical account,radio/television,930,no savings account,>=7 years,4,male:single,none,4,real estate,65,none,own,4,skilled employee / official,1,none,yes,Good Risk
808,0 <= <200 DM,42,all credits at this bank paid back duly,car (used),9283,<100 DM,unemployed,1,male:single,none,2,unknown / no property,55,bank,for free,1,management/ highly qualified employee,1,yes,yes,Good Risk
809,0 <= <200 DM,15,no credits taken,car (new),1778,<100 DM,<1 years,2,female:divorced/separated/married,none,1,real estate,26,none,rent,2,unemployed/ unskilled  - non-resident,1,none,yes,Bad Risk
810,0 <= <200 DM,8,existing credits paid back duly till now,business,907,<100 DM,<1 years,3,male:married/widowed,none,2,real estate,26,none,own,1,skilled employee / official,1,yes,yes,Good Risk
811,0 <= <200 DM,6,existing credits paid back duly till now,radio/television,484,<100 DM,4<= <7 years,3,male:married/widowed,guarantor,3,real estate,28,bank,own,1,unskilled - resident,1,none,yes,Good Risk
812,<0 DM,36,critical account,car (used),9629,<100 DM,4<= <7 years,4,male:single,none,4,car or other,24,none,own,2,skilled employee / official,1,yes,yes,Bad Risk
813,<0 DM,48,existing credits paid back duly till now,domestic appliances,3051,<100 DM,1<= < 4 years,3,male:single,none,4,car or other,54,none,own,1,skilled employee / official,1,none,yes,Bad Risk
814,<0 DM,48,existing credits paid back duly till now,car (new),3931,<100 DM,4<= <7 years,4,male:single,none,4,unknown / no property,46,none,for free,1,skilled employee / official,2,none,yes,Bad Risk
815,0 <= <200 DM,36,delay in paying off,car (new),7432,<100 DM,1<= < 4 years,2,female:divorced/separated/married,none,2,savings agreement/life insurance,54,none,rent,1,skilled employee / official,1,none,yes,Good Risk
816,no checking account,6,existing credits paid back duly till now,domestic appliances,1338,500 <= < 1000 DM,1<= < 4 years,1,male:divorced/separated,none,4,real estate,62,none,own,1,skilled employee / official,1,none,yes,Good Risk
817,no checking account,6,critical account,radio/television,1554,<100 DM,4<= <7 years,1,female:divorced/separated/married,none,2,car or other,24,none,rent,2,skilled employee / official,1,yes,yes,Good Risk
818,<0 DM,36,existing credits paid back duly till now,others,15857,<100 DM,unemployed,2,male:divorced/separated,co-applicant,3,car or other,43,none,own,1,management/ highly qualified employee,1,none,yes,Good Risk
819,<0 DM,18,existing credits paid back duly till now,radio/television,1345,<100 DM,1<= < 4 years,4,male:married/widowed,none,3,real estate,26,bank,own,1,skilled employee / official,1,none,yes,Bad Risk
820,no checking account,12,existing credits paid back duly till now,car (new),1101,<100 DM,1<= < 4 years,3,male:married/widowed,none,2,real estate,27,none,own,2,skilled employee / official,1,yes,yes,Good Risk
821,>= 200 DM ,12,existing credits paid back duly till now,radio/television,3016,<100 DM,1<= < 4 years,3,male:married/widowed,none,1,car or other,24,none,own,1,skilled employee / official,1,none,yes,Good Risk
822,<0 DM,36,existing credits paid back duly till now,furniture/equipment,2712,<100 DM,>=7 years,2,male:single,none,2,savings agreement/life insurance,41,bank,own,1,skilled employee / official,2,none,yes,Bad Risk
823,<0 DM,8,critical account,car (new),731,<100 DM,>=7 years,4,male:single,none,4,real estate,47,none,own,2,unskilled - resident,1,none,yes,Good Risk
824,no checking account,18,critical account,furniture/equipment,3780,<100 DM,<1 years,3,male:divorced/separated,none,2,car or other,35,none,own,2,management/ highly qualified employee,1,yes,yes,Good Risk
825,<0 DM,21,critical account,car (new),1602,<100 DM,>=7 years,4,male:married/widowed,none,3,car or other,30,none,own,2,skilled employee / official,1,yes,yes,Good Risk
826,<0 DM,18,critical account,car (new),3966,<100 DM,>=7 years,1,female:divorced/separated/married,none,4,real estate,33,bank,rent,3,skilled employee / official,1,yes,yes,Bad Risk
827,no checking account,18,no credits taken,business,4165,<100 DM,1<= < 4 years,2,male:single,none,2,car or other,36,store,own,2,skilled employee / official,2,none,yes,Bad Risk
828,<0 DM,36,existing credits paid back duly till now,car (used),8335,no savings account,>=7 years,3,male:single,none,4,unknown / no property,47,none,for free,1,skilled employee / official,1,none,yes,Bad Risk
829,0 <= <200 DM,48,delay in paying off,business,6681,no savings account,1<= < 4 years,4,male:single,none,4,unknown / no property,38,none,for free,1,skilled employee / official,2,yes,yes,Good Risk
830,no checking account,24,delay in paying off,business,2375,500 <= < 1000 DM,1<= < 4 years,4,male:single,none,2,car or other,44,none,own,2,skilled employee / official,2,yes,yes,Good Risk
831,<0 DM,18,existing credits paid back duly till now,car (new),1216,<100 DM,<1 years,4,female:divorced/separated/married,none,3,car or other,23,none,rent,1,skilled employee / official,1,yes,yes,Bad Risk
832,<0 DM,45,no credits taken,business,11816,<100 DM,>=7 years,2,male:single,none,4,car or other,29,none,rent,2,skilled employee / official,1,none,yes,Bad Risk
833,0 <= <200 DM,24,existing credits paid back duly till now,radio/television,5084,no savings account,>=7 years,2,female:divorced/separated/married,none,4,car or other,42,none,own,1,skilled employee / official,1,yes,yes,Good Risk
834,>= 200 DM ,15,existing credits paid back duly till now,radio/television,2327,<100 DM,<1 years,2,female:divorced/separated/married,none,3,real estate,25,none,own,1,unskilled - resident,1,none,yes,Bad Risk
835,<0 DM,12,no credits taken,car (new),1082,<100 DM,1<= < 4 years,4,male:single,none,4,car or other,48,bank,own,2,skilled employee / official,1,none,yes,Bad Risk
836,no checking account,12,existing credits paid back duly till now,radio/television,886,no savings account,1<= < 4 years,4,female:divorced/separated/married,none,2,car or other,21,none,own,1,skilled employee / official,1,none,yes,Good Risk
837,no checking account,4,existing credits paid back duly till now,furniture/equipment,601,<100 DM,<1 years,1,female:divorced/separated/married,none,3,real estate,23,none,rent,1,unskilled - resident,2,none,yes,Good Risk
838,<0 DM,24,critical account,car (used),2957,<100 DM,>=7 years,4,male:single,none,4,savings agreement/life insurance,63,none,own,2,skilled employee / official,1,yes,yes,Good Risk
839,no checking account,24,critical account,radio/television,2611,<100 DM,>=7 years,4,male:married/widowed,co-applicant,3,real estate,46,none,own,2,skilled employee / official,1,none,yes,Good Risk
840,<0 DM,36,existing credits paid back duly till now,furniture/equipment,5179,<100 DM,4<= <7 years,4,male:single,none,2,savings agreement/life insurance,29,none,own,1,skilled employee / official,1,none,yes,Bad Risk
841,no checking account,21,delay in paying off,car (used),2993,<100 DM,1<= < 4 years,3,male:single,none,2,real estate,28,store,own,2,unskilled - resident,1,none,yes,Good Risk
842,no checking account,18,existing credits paid back duly till now,repairs,1943,<100 DM,<1 years,4,female:divorced/separated/married,none,4,real estate,23,none,own,1,skilled employee / official,1,none,yes,Bad Risk
843,no checking account,24,all credits at this bank paid back duly,business,1559,<100 DM,4<= <7 years,4,male:single,none,4,car or other,50,bank,own,1,skilled employee / official,1,yes,yes,Good Risk
844,no checking account,18,existing credits paid back duly till now,furniture/equipment,3422,<100 DM,>=7 years,4,male:single,none,4,savings agreement/life insurance,47,bank,own,3,skilled employee / official,2,yes,yes,Good Risk
845,0 <= <200 DM,21,existing credits paid back duly till now,furniture/equipment,3976,no savings account,4<= <7 years,2,male:single,none,3,car or other,35,none,own,1,skilled employee / official,1,yes,yes,Good Risk
846,no checking account,18,existing credits paid back duly till now,car (new),6761,no savings account,1<= < 4 years,2,male:single,none,4,car or other,68,none,rent,2,skilled employee / official,1,none,yes,Bad Risk
847,no checking account,24,existing credits paid back duly till now,car (new),1249,<100 DM,<1 years,4,male:married/widowed,none,2,real estate,28,none,own,1,skilled employee / official,1,none,yes,Good Risk
848,<0 DM,9,existing credits paid back duly till now,radio/television,1364,<100 DM,4<= <7 years,3,male:single,none,4,real estate,59,none,own,1,skilled employee / official,1,none,yes,Good Risk
849,<0 DM,12,existing credits paid back duly till now,radio/television,709,<100 DM,>=7 years,4,male:single,none,4,real estate,57,store,own,1,unskilled - resident,1,none,yes,Bad Risk
850,<0 DM,20,critical account,car (new),2235,<100 DM,1<= < 4 years,4,male:married/widowed,guarantor,2,savings agreement/life insurance,33,bank,rent,2,skilled employee / official,1,none,no,Bad Risk
851,no checking account,24,critical account,car (used),4042,no savings account,4<= <7 years,3,male:single,none,4,savings agreement/life insurance,43,none,own,2,skilled employee / official,1,yes,yes,Good Risk
852,no checking account,15,critical account,radio/television,1471,<100 DM,1<= < 4 years,4,male:single,none,4,unknown / no property,35,none,for free,2,skilled employee / official,1,yes,yes,Good Risk
853,<0 DM,18,all credits at this bank paid back duly,car (new),1442,<100 DM,4<= <7 years,4,male:single,none,4,unknown / no property,32,none,for free,2,unskilled - resident,2,none,yes,Bad Risk
854,no checking account,36,delay in paying off,car (new),10875,<100 DM,>=7 years,2,male:single,none,2,car or other,45,none,own,2,skilled employee / official,2,yes,yes,Good Risk
855,no checking account,24,existing credits paid back duly till now,car (new),1474,100 <= <500 DM,<1 years,4,male:married/widowed,none,3,real estate,33,none,own,1,skilled employee / official,1,yes,yes,Good Risk
856,no checking account,10,existing credits paid back duly till now,retraining,894,no savings account,4<= <7 years,4,female:divorced/separated/married,none,3,savings agreement/life insurance,40,none,own,1,skilled employee / official,1,yes,yes,Good Risk
857,no checking account,15,critical account,furniture/equipment,3343,<100 DM,1<= < 4 years,4,male:single,none,2,unknown / no property,28,none,for free,1,skilled employee / official,1,yes,yes,Good Risk
858,<0 DM,15,existing credits paid back duly till now,car (new),3959,<100 DM,1<= < 4 years,3,female:divorced/separated/married,none,2,savings agreement/life insurance,29,none,own,1,skilled employee / official,1,yes,yes,Bad Risk
859,no checking account,9,existing credits paid back duly till now,car (new),3577,100 <= <500 DM,1<= < 4 years,1,male:single,guarantor,2,real estate,26,none,rent,1,skilled employee / official,2,none,no,Good Risk
860,no checking account,24,critical account,car (used),5804,>= 1000 DM,1<= < 4 years,4,male:single,none,2,real estate,27,none,own,2,skilled employee / official,1,none,yes,Good Risk
861,no checking account,18,delay in paying off,business,2169,<100 DM,1<= < 4 years,4,male:married/widowed,none,2,car or other,28,none,own,1,skilled employee / official,1,yes,yes,Bad Risk
862,<0 DM,24,existing credits paid back duly till now,radio/television,2439,<100 DM,<1 years,4,female:divorced/separated/married,none,4,real estate,35,none,own,1,skilled employee / official,1,yes,yes,Bad Risk
863,no checking account,27,critical account,furniture/equipment,4526,>= 1000 DM,<1 years,4,male:single,none,2,real estate,32,store,own,2,unskilled - resident,2,yes,yes,Good Risk
864,no checking account,10,existing credits paid back duly till now,furniture/equipment,2210,<100 DM,1<= < 4 years,2,male:single,none,2,real estate,25,bank,rent,1,unskilled - resident,1,none,yes,Bad Risk
865,no checking account,15,existing credits paid back duly till now,furniture/equipment,2221,500 <= < 1000 DM,1<= < 4 years,2,female:divorced/separated/married,none,4,car or other,20,none,rent,1,skilled employee / official,1,none,yes,Good Risk
866,<0 DM,18,existing credits paid back duly till now,radio/television,2389,<100 DM,<1 years,4,female:divorced/separated/married,none,1,car or other,27,store,own,1,skilled employee / official,1,none,yes,Good Risk
867,no checking account,12,critical account,furniture/equipment,3331,<100 DM,>=7 years,2,male:single,none,4,savings agreement/life insurance,42,store,own,1,skilled employee / official,1,none,yes,Good Risk
868,no checking account,36,existing credits paid back duly till now,business,7409,no savings account,>=7 years,3,male:single,none,2,savings agreement/life insurance,37,none,own,2,skilled employee / official,1,none,yes,Good Risk
869,<0 DM,12,existing credits paid back duly till now,furniture/equipment,652,<100 DM,>=7 years,4,female:divorced/separated/married,none,4,savings agreement/life insurance,24,none,rent,1,skilled employee / official,1,none,yes,Good Risk
870,no checking account,36,delay in paying off,furniture/equipment,7678,500 <= < 1000 DM,4<= <7 years,2,female:divorced/separated/married,none,4,car or other,40,none,own,2,skilled employee / official,1,yes,yes,Good Risk
871,>= 200 DM ,6,critical account,car (new),1343,<100 DM,>=7 years,1,male:single,none,4,real estate,46,none,own,2,skilled employee / official,2,none,no,Good Risk
872,<0 DM,24,critical account,business,1382,100 <= <500 DM,4<= <7 years,4,male:single,none,1,real estate,26,none,own,2,skilled employee / official,1,yes,yes,Good Risk
873,no checking account,15,existing credits paid back duly till now,domestic appliances,874,no savings account,<1 years,4,female:divorced/separated/married,none,1,real estate,24,none,own,1,skilled employee / official,1,none,yes,Good Risk
874,<0 DM,12,existing credits paid back duly till now,furniture/equipment,3590,<100 DM,1<= < 4 years,2,male:single,co-applicant,2,savings agreement/life insurance,29,none,own,1,unskilled - resident,2,none,yes,Good Risk
875,0 <= <200 DM,11,critical account,car (new),1322,>= 1000 DM,1<= < 4 years,4,female:divorced/separated/married,none,4,car or other,40,none,own,2,skilled employee / official,1,none,yes,Good Risk
876,<0 DM,18,all credits at this bank paid back duly,radio/television,1940,<100 DM,<1 years,3,male:single,co-applicant,4,unknown / no property,36,bank,for free,1,management/ highly qualified employee,1,yes,yes,Good Risk
877,no checking account,36,existing credits paid back duly till now,radio/television,3595,<100 DM,>=7 years,4,male:single,none,2,car or other,28,none,own,1,skilled employee / official,1,none,yes,Good Risk
878,<0 DM,9,existing credits paid back duly till now,car (new),1422,<100 DM,<1 years,3,male:single,none,2,unknown / no property,27,none,for free,1,management/ highly qualified employee,1,yes,yes,Bad Risk
879,no checking account,30,critical account,radio/television,6742,no savings account,4<= <7 years,2,male:single,none,3,savings agreement/life insurance,36,none,own,2,skilled employee / official,1,none,yes,Good Risk
880,no checking account,24,existing credits paid back duly till now,car (used),7814,<100 DM,4<= <7 years,3,male:single,none,3,car or other,38,none,own,1,management/ highly qualified employee,1,yes,yes,Good Risk
881,no checking account,24,existing credits paid back duly till now,car (used),9277,no savings account,1<= < 4 years,2,male:divorced/separated,none,4,unknown / no property,48,none,for free,1,skilled employee / official,1,yes,yes,Good Risk
882,0 <= <200 DM,30,critical account,car (new),2181,no savings account,>=7 years,4,male:single,none,4,real estate,36,none,own,2,skilled employee / official,1,none,yes,Good Risk
883,no checking account,18,critical account,radio/television,1098,<100 DM,unemployed,4,female:divorced/separated/married,none,4,car or other,65,none,own,2,unemployed/ unskilled  - non-resident,1,none,yes,Good Risk
884,0 <= <200 DM,24,existing credits paid back duly till now,furniture/equipment,4057,<100 DM,4<= <7 years,3,male:divorced/separated,none,3,car or other,43,none,own,1,skilled employee / official,1,yes,yes,Bad Risk
885,<0 DM,12,existing credits paid back duly till now,education,795,<100 DM,<1 years,4,female:divorced/separated/married,none,4,savings agreement/life insurance,53,none,own,1,skilled employee / official,1,none,yes,Bad Risk
886,0 <= <200 DM,24,critical account,business,2825,no savings account,4<= <7 years,4,male:single,none,3,unknown / no property,34,none,own,2,skilled employee / official,2,yes,yes,Good Risk
887,0 <= <200 DM,48,existing credits paid back duly till now,business,15672,<100 DM,1<= < 4 years,2,male:single,none,2,car or other,23,none,own,1,skilled employee / official,1,yes,yes,Bad Risk
888,no checking account,36,critical account,car (new),6614,<100 DM,>=7 years,4,male:single,none,4,car or other,34,none,own,2,management/ highly qualified employee,1,yes,yes,Good Risk
889,no checking account,28,all credits at this bank paid back duly,car (used),7824,no savings account,<1 years,3,male:single,guarantor,4,real estate,40,bank,rent,2,skilled employee / official,2,yes,yes,Good Risk
890,<0 DM,27,critical account,business,2442,<100 DM,>=7 years,4,male:single,none,4,car or other,43,store,own,4,management/ highly qualified employee,2,yes,yes,Good Risk
891,no checking account,15,critical account,radio/television,1829,<100 DM,>=7 years,4,male:single,none,4,car or other,46,none,own,2,skilled employee / official,1,yes,yes,Good Risk
892,<0 DM,12,critical account,car (new),2171,<100 DM,1<= < 4 years,4,male:single,none,4,savings agreement/life insurance,38,bank,own,2,unskilled - resident,1,none,no,Good Risk
893,0 <= <200 DM,36,critical account,car (used),5800,<100 DM,1<= < 4 years,3,male:single,none,4,car or other,34,none,own,2,skilled employee / official,1,yes,yes,Good Risk
894,no checking account,18,critical account,radio/television,1169,no savings account,1<= < 4 years,4,male:single,none,3,savings agreement/life insurance,29,none,own,2,skilled employee / official,1,yes,yes,Good Risk
895,no checking account,36,delay in paying off,car (used),8947,no savings account,4<= <7 years,3,male:single,none,2,car or other,31,store,own,1,management/ highly qualified employee,2,yes,yes,Good Risk
896,<0 DM,21,existing credits paid back duly till now,radio/television,2606,<100 DM,<1 years,4,female:divorced/separated/married,none,4,savings agreement/life insurance,28,none,rent,1,management/ highly qualified employee,1,yes,yes,Good Risk
897,no checking account,12,critical account,furniture/equipment,1592,>= 1000 DM,4<= <7 years,3,female:divorced/separated/married,none,2,savings agreement/life insurance,35,none,own,1,skilled employee / official,1,none,no,Good Risk
898,no checking account,15,existing credits paid back duly till now,furniture/equipment,2186,no savings account,4<= <7 years,1,female:divorced/separated/married,none,4,real estate,33,bank,rent,1,unskilled - resident,1,none,yes,Good Risk
899,<0 DM,18,existing credits paid back duly till now,furniture/equipment,4153,<100 DM,1<= < 4 years,2,male:single,co-applicant,3,car or other,42,none,own,1,skilled employee / official,1,none,yes,Bad Risk
900,<0 DM,16,critical account,car (new),2625,<100 DM,>=7 years,2,male:single,guarantor,4,savings agreement/life insurance,43,bank,rent,1,skilled employee / official,1,yes,yes,Bad Risk
901,no checking account,20,critical account,car (new),3485,no savings account,<1 years,2,male:divorced/separated,none,4,real estate,44,none,own,2,skilled employee / official,1,yes,yes,Good Risk
902,no checking account,36,critical account,car (used),10477,no savings account,>=7 years,2,male:single,none,4,unknown / no property,42,none,for free,2,skilled employee / official,1,none,yes,Good Risk
903,no checking account,15,existing credits paid back duly till now,radio/television,1386,no savings account,1<= < 4 years,4,male:married/widowed,none,2,real estate,40,none,rent,1,skilled employee / official,1,yes,yes,Good Risk
904,no checking account,24,existing credits paid back duly till now,radio/television,1278,<100 DM,>=7 years,4,male:single,none,1,real estate,36,none,own,1,management/ highly qualified employee,1,yes,yes,Good Risk
905,<0 DM,12,existing credits paid back duly till now,radio/television,1107,<100 DM,1<= < 4 years,2,male:single,none,2,real estate,20,none,rent,1,management/ highly qualified employee,2,yes,yes,Good Risk
906,<0 DM,21,existing credits paid back duly till now,car (new),3763,no savings account,4<= <7 years,2,male:single,co-applicant,2,real estate,24,none,own,1,unskilled - resident,1,none,no,Good Risk
907,0 <= <200 DM,36,existing credits paid back duly till now,education,3711,no savings account,1<= < 4 years,2,male:married/widowed,none,2,car or other,27,none,own,1,skilled employee / official,1,none,yes,Good Risk
908,no checking account,15,delay in paying off,car (used),3594,<100 DM,<1 years,1,female:divorced/separated/married,none,2,savings agreement/life insurance,46,none,own,2,unskilled - resident,1,none,yes,Good Risk
909,0 <= <200 DM,9,existing credits paid back duly till now,car (new),3195,no savings account,1<= < 4 years,1,female:divorced/separated/married,none,2,real estate,33,none,own,1,unskilled - resident,1,none,yes,Good Risk
910,no checking account,36,delay in paying off,radio/television,4454,<100 DM,1<= < 4 years,4,female:divorced/separated/married,none,4,real estate,34,none,own,2,skilled employee / official,1,none,yes,Good Risk
911,0 <= <200 DM,24,critical account,furniture/equipment,4736,<100 DM,<1 years,2,female:divorced/separated/married,none,4,car or other,25,bank,own,1,unskilled - resident,1,none,yes,Bad Risk
912,0 <= <200 DM,30,existing credits paid back duly till now,radio/television,2991,no savings account,>=7 years,2,female:divorced/separated/married,none,4,car or other,25,none,own,1,skilled employee / official,1,none,yes,Good Risk
913,no checking account,11,existing credits paid back duly till now,business,2142,>= 1000 DM,>=7 years,1,male:divorced/separated,none,2,real estate,28,none,own,1,skilled employee / official,1,yes,yes,Good Risk
914,<0 DM,24,all credits at this bank paid back duly,business,3161,<100 DM,1<= < 4 years,4,male:single,none,2,savings agreement/life insurance,31,none,rent,1,skilled employee / official,1,yes,yes,Bad Risk
915,0 <= <200 DM,48,no credits taken,others,18424,<100 DM,1<= < 4 years,1,female:divorced/separated/married,none,2,savings agreement/life insurance,32,bank,own,1,management/ highly qualified employee,1,yes,no,Bad Risk
916,no checking account,10,existing credits paid back duly till now,car (used),2848,100 <= <500 DM,1<= < 4 years,1,male:single,co-applicant,2,real estate,32,none,own,1,skilled employee / official,2,none,yes,Good Risk
917,<0 DM,6,existing credits paid back duly till now,car (new),14896,<100 DM,>=7 years,1,male:single,none,4,unknown / no property,68,bank,own,1,management/ highly qualified employee,1,yes,yes,Bad Risk
918,<0 DM,24,existing credits paid back duly till now,furniture/equipment,2359,100 <= <500 DM,unemployed,1,male:divorced/separated,none,1,savings agreement/life insurance,33,none,own,1,skilled employee / official,1,none,yes,Bad Risk
919,<0 DM,24,existing credits paid back duly till now,furniture/equipment,3345,<100 DM,>=7 years,4,male:single,none,2,savings agreement/life insurance,39,none,rent,1,management/ highly qualified employee,1,yes,yes,Bad Risk
920,no checking account,18,critical account,furniture/equipment,1817,<100 DM,1<= < 4 years,4,female:divorced/separated/married,none,2,unknown / no property,28,none,own,2,skilled employee / official,1,none,yes,Good Risk
921,no checking account,48,delay in paying off,radio/television,12749,500 <= < 1000 DM,4<= <7 years,4,male:single,none,1,car or other,37,none,own,1,management/ highly qualified employee,1,yes,yes,Good Risk
922,<0 DM,9,existing credits paid back duly till now,radio/television,1366,<100 DM,<1 years,3,female:divorced/separated/married,none,4,savings agreement/life insurance,22,none,rent,1,skilled employee / official,1,none,yes,Bad Risk
923,0 <= <200 DM,12,existing credits paid back duly till now,car (new),2002,<100 DM,4<= <7 years,3,male:single,none,4,savings agreement/life insurance,30,none,rent,1,skilled employee / official,2,yes,yes,Good Risk
924,<0 DM,24,all credits at this bank paid back duly,furniture/equipment,6872,<100 DM,<1 years,2,male:divorced/separated,none,1,savings agreement/life insurance,55,bank,own,1,skilled employee / official,1,yes,yes,Bad Risk
925,<0 DM,12,all credits at this bank paid back duly,car (new),697,<100 DM,<1 years,4,male:single,none,2,car or other,46,bank,own,2,skilled employee / official,1,yes,yes,Bad Risk
926,<0 DM,18,critical account,furniture/equipment,1049,<100 DM,<1 years,4,female:divorced/separated/married,none,4,savings agreement/life insurance,21,none,rent,1,skilled employee / official,1,none,yes,Good Risk
927,<0 DM,48,existing credits paid back duly till now,car (used),10297,<100 DM,4<= <7 years,4,male:single,none,4,unknown / no property,39,store,for free,3,skilled employee / official,2,yes,yes,Bad Risk
928,no checking account,30,existing credits paid back duly till now,radio/television,1867,no savings account,>=7 years,4,male:single,none,4,car or other,58,none,own,1,skilled employee / official,1,yes,yes,Good Risk
929,<0 DM,12,delay in paying off,car (new),1344,<100 DM,1<= < 4 years,4,male:single,none,2,real estate,43,none,own,2,unskilled - resident,2,none,yes,Good Risk
930,<0 DM,24,existing credits paid back duly till now,furniture/equipment,1747,<100 DM,<1 years,4,male:single,co-applicant,1,savings agreement/life insurance,24,none,own,1,unskilled - resident,1,none,no,Good Risk
931,0 <= <200 DM,9,existing credits paid back duly till now,radio/television,1670,<100 DM,<1 years,4,female:divorced/separated/married,none,2,car or other,22,none,own,1,skilled employee / official,1,yes,yes,Bad Risk
932,no checking account,9,critical account,car (new),1224,<100 DM,1<= < 4 years,3,male:single,none,1,real estate,30,none,own,2,skilled employee / official,1,none,yes,Good Risk
933,no checking account,12,critical account,radio/television,522,500 <= < 1000 DM,>=7 years,4,male:single,none,4,savings agreement/life insurance,42,none,own,2,skilled employee / official,2,yes,yes,Good Risk
